Sampling	Condition	SampleID	Taunc	Tacorr	analyte_mass g	file name	CRM type	CRM TA umol_kg-1	Titrant nominal concentration M	Titrant stardized conc M	Titration_batch	Salinity	DIC	analyte_mass	CRM2
24h	4	4.24.2	2.347	2.347	49.11	T40356_20221122_1736_066_Tdata1	SS20221120_1	2342	0.1	0.1018	2	33.57	2029.92	0.04911	2214.54
24h	4	4.24.2	2.351	2.351	50.75	T40356_20221122_1736_066_Tdata2	SS20221120_1	2342	0.1	0.1018	2	33.57	2029.92	0.05075	2214.54
24h	4	4.24.3	2.346	2.346	49.79	T40356_20221122_1756_067_Tdata3	SS20221120_1	2342	0.1	0.1018	2	33.97	2029.92	0.04979	2214.54
24h	4	4.24.3	2.353	2.353	48.39	T40356_20221122_1756_068_Tdata1	SS20221120_1	2342	0.1	0.1018	2	33.97	2029.92	0.04839	2214.54
48h	1	1.48.1	2.481	2.481	50.73	T40356_20221122_1038_033_Tdata1	SS20221120_1	2342	0.1	0.1018	2	34.04	2029.92	0.05073	2214.54
48h	1	1.48.1	2.462	2.462	51.29	T40356_20221122_1059_034_Tdata2	SS20221120_1	2342	0.1	0.1018	2	34.04	2029.92	0.05129	2214.54
48h	1	1.48.2	2.51	2.51	51.08	T40356_20221122_1136_035_Tdata2	SS20221120_1	2342	0.1	0.1018	2	33.54	2029.92	0.05108	2214.54
48h	1	1.48.2	2.511	2.511	50.64	T40356_20221122_1530_055_Tdata1	SS20221120_1	2342	0.1	0.1018	2	33.54	2029.92	0.05064	2214.54
48h	1	1.48.3	2.592	2.592	51.41	T40356_20221122_1147_036_Tdata2	SS20221120_1	2342	0.1	0.1018	2	34.42	2029.92	0.05141	2214.54
48h	1	1.48.3	2.601	2.601	46.11	T40356_20221122_1538_056_Tdata1	SS20221120_1	2342	0.1	0.1018	2	34.42	2029.92	0.04611	2214.54
48h	1	1.48.4	2.5	2.5	50.61	T40356_20221122_1346_047_Tdata1	SS20221120_1	2342	0.1	0.1018	2	34.62	2029.92	0.05061	2214.54
48h	1	1.48.4	2.497	2.497	54	T40356_20221122_1346_047_Tdata2	SS20221120_1	2342	0.1	0.1018	2	34.62	2029.92	0.054	2214.54
48h	2	2.48.1	2.407	2.407	49.85	T40356_20221122_1202_037_Tdata1	SS20221120_1	2342	0.1	0.1018	2	33.79	2029.92	0.04985	2214.54
48h	2	2.48.1	2.407	2.407	50.59	T40356_20221122_1202_037_Tdata2	SS20221120_1	2342	0.1	0.1018	2	33.79	2029.92	0.05059	2214.54
48h	2	2.48.2	2.543	2.543	51.09	T40356_20221122_1202_038_Tdata1	SS20221120_1	2342	0.1	0.1018	2	33.32	2029.92	0.05109	2214.54
48h	2	2.48.2	2.541	2.541	46.93	T40356_20221122_1544_057_Tdata1	SS20221120_1	2342	0.1	0.1018	2	33.32	2029.92	0.04693	2214.54
48h	2	2.48.3	2.385	2.385	50.85	T40356_20221122_1202_039_Tdata1	SS20221120_1	2342	0.1	0.1018	2	33.86	2029.92	0.05085	2214.54
48h	2	2.48.3	2.379	2.379	51.21	T40356_20221122_1202_039_Tdata2	SS20221120_1	2342	0.1	0.1018	2	33.86	2029.92	0.05121	2214.54
48h	3	3.48.1	2.489	2.489	49.77	T40356_20221122_1202_040_Tdata1	SS20221120_1	2342	0.1	0.1018	2	34.92	2029.92	0.04977	2214.54
48h	3	3.48.1	2.492	2.492	49.64	T40356_20221122_1202_040_Tdata2	SS20221120_1	2342	0.1	0.1018	2	34.92	2029.92	0.04964	2214.54
48h	3	3.48.2	2.545	2.545	50.48	T40356_20221122_1202_042_Tdata1	SS20221120_1	2342	0.1	0.1018	2	33.76	2029.92	0.05048	2214.54
48h	3	3.48.2	2.551	2.551	49.92	T40356_20221122_1202_042_Tdata2	SS20221120_1	2342	0.1	0.1018	2	33.76	2029.92	0.04992	2214.54
48h	3	3.48.3	2.527	2.527	51.12	T40356_20221122_1202_043_Tdata1	SS20221120_1	2342	0.1	0.1018	2	33.77	2029.92	0.05112	2214.54
48h	3	3.48.3	2.538	2.538	49.96	T40356_20221122_1202_043_Tdata2	SS20221120_1	2342	0.1	0.1018	2	33.77	2029.92	0.04996	2214.54
48h	4	4.48.1	2.354	2.354	51.44	T40356_20221122_1202_044_Tdata1	SS20221120_1	2342	0.1	0.1018	2	33.82	2029.92	0.05144	2214.54
48h	4	4.48.1	2.341	2.341	47.91	T40356_20221122_1613_059_Tdata1	SS20221120_1	2342	0.1	0.1018	2	33.82	2029.92	0.04791	2214.54
48h	4	4.48.2	2.329	2.329	49.54	T40356_20221122_1202_045_Tdata2	SS20221120_1	2342	0.1	0.1018	2	33.34	2029.92	0.04954	2214.54
48h	4	4.48.2	2.326	2.326	46.19	T40356_20221122_1618_060_Tdata1	SS20221120_1	2342	0.1	0.1018	2	33.34	2029.92	0.04619	2214.54
